czytać,read
lapsus,lapse
leader,leader
legar,joist
legenda,legend
legislator,parliamentary counsel
leitmotiv,leitmotif
lemma,lemma
lepra,leprosy
lepton,lepton
libido,libido
liga,league
ligatura,ligature
lima,lime
lira,lyre
lista,list
liturgia,liturgy
logomachia,logomachy
lumbago,lumbago
lunch,lunch
lustro,mirror
mafioso,mafioso
magma,magma
mama,mum
mammalogia,mammalogy
mango,mango
mania,mania
na bezrybiu i rak ryba,beggars can't be choosers
JE,HE
mansarda,attic
masoneria,freemasonry
materia,matter
matrona,matrona
umieć,can
alkoholizm,alcoholism
alkoholik,alcoholic
mediana,median
megabit,megabit
megalomania,megalomania
melancholia,melancholia
melodia,melody
membrana,membrane
memorandum,memorandum
menu,menu
alkoholowy,alcoholic
zawierać,contain
minaret,minaret
mineralogia,mineralogy
meteorologia,meteorology
metro,underground
miau,miaow
milieu,milieu
minor,minor
miocen,Miocene
mitra,mitre
moda,fashion
monarcha,monarch
monarchia,monarchy
monogamia,monogamy
monotonia,monotony
moralista,moralist
moro,camo
motel,motel
motto,motto
chemia,chemistry
multimedia,multimedia
mumia,mummy
musical,musical
elipsa,ellipse
krzywa stożkowa,conic
ilość,quantity
sycylijski,Sicilian
sposób,way
samolot,plane
podmiot,subject
drugi,second
teraz,now
Sardynia,Sardegne
Neapol,Naples
pole,field
słoń,elephant
pistolet,pistol
rewolwer,revolver
om,ohm
nabla,nabla
napalm,napalm
pocałować w dupę,kiss my ass
nazista,nazi
dawać dupy,botch
cztery litery,behind
gdzieś,somewhere
neutron,neutron
norma,norm
nostalgia,nostalgia
odontologia,odontology
oligocen,Oligocene
omnibus,omnibus
operator,operator
opium,opium
opus,opus
orbita,orbit
orbital,orbital
orchidea,orchid
organista,organist
orgia,orgy
grabarz,gravedigger
wojna,war
pager,pager
pagoda,pagoda
panda,panda
pandemia,pandemic
panorama,panorama
pantomima,mime
papa,papa
parabola,parabola
paraplegia,paraplegia
parodia,parody
pasta,paste
pastor,pastor
patio,patio
patriarcha,patriarch
patriota,patriot
pederastia,pederasty
peonia,peony
koperta,envelope
zapominać,forget
parasolka,umbrella
perfumeria,perfumery
peseta,peseta
przekątna,diagonal
odcinek,episode
pizza,pizza
plaga,plague
plagiator,plagiarist
plateau,plateau
pliocen,Pliocene
poeta,poet
pointer,pointer
polar,polar fleece
polka,polka
polo,polo
pompa,pump
porto,port wine
letnik,holidaymaker
powiedziałeś A, powiedz B,you cannot say A without saying B
kto szuka, ten znajdzie,he that seeketh findeth
żaba,frog
prawo jest po to, aby je omijać,every law has a loophole
zjeść tę żabę,lie in the bed one has made
list,letter
żabka,froggy
abstrahować,abstract
mesto,mesto
rzygacz,gargoyle
brydż,bridge
lewa,trick
dżoker,joker
poker,poker
pragma,pragma
babka,grandma
prehistoria,prehistory
beżowy,beige
beżowo,beige
strój,attire
kastoreum,castoreum
gladiator,gladiator
pas startowy,airstrip
chodzić,walk
kłamstwo ma krótkie nogi,a lie has no legs
sobie,myself
siebie,oneself
sobą,myself
sześcian,cube
wersor,versor
Włochy,Italy
Hiszpania,Spain
Portugalia,Portugal
głupi jak but,thick as a brick
lwi,leonine
reszta,rest
odłącznik,disconnector
wyłącznik,switchgear
telewizor,TV
wiedzieć,know
prowadzić,guide
Paweł,Paul
ludzki,human
żądło,sting
trzeci,third
czwarty,fourth
piąty,fifth
przestrzegać,warn
gąsienica,caterpillar
dać,give
stolica,capital
biały,white
protagonista,protagonist
ołtarz,altar
kompilacja,compilation
spacer,stroll
ognie świętego Elma,Saint Elmo's fire
z góry,in advance
tata,dad
rower,bicycle
ckm,MG
okrutnie,cruelly
psychiatria,psychiatry
rynek,marketplace
drednot,dreadnought
wykształcenie,education
pulsar,pulsar
pupa,behind
purpura,purpure
puzzle,jigsaw puzzle
pojęcie,term
tłumacz,translator
żaglowiec,sailing ship
szczawik,wood sorrel
absztyfikant,wooer
audytorium,auditorium
moździerz,mortar
cmentarz,cemetery
cmentarzysko,graveyard
cmentarny,cemeterial
znicz,cemetery
grobowy,grave
autobiografia,autobiography
quiz,quiz
radar,radar
radian,radian
radiator,radiator
rama,frame
rana,wound
raper,rapper
rata,installment
real,real
recepta,prescription
receptor,sensory receptor
recital,recital
referendum,referendum
czuć miętę,fancy
głośnik,loudspeaker
reforma,reform
reformator,reformer
renta,disability benefit
reporter,reporter
brzydki,ugly
disco,disco
setka,hundred
jabłko niezgody,bone of contention
retorta,retort
rosa,dew
rotor,rotor
sabra,Sabra
safari,safari
sahib,sahib
sake,sake
salamandra,salamander
saldo,balance
salicyl,salicyl
pasożyt,parasite
salto,somersault
ut,ut
imperium,empire
daremny,vain
natura,nature
casus belli,casus belli
mikroskopijny,microscopic
śrubokręt,screwdriver
generator,generator
strych,attic
Argentyna,Argentina
prądnica,generator
silnik,motor
bękart,bastard
perski,Persian
śmiałym szczęście sprzyja,fortune favors the bold
ginąć,get lost
temu,ago
omnipotencja,omnipotence
profesjonalizacja,professionalization
konklawe,conclave
promocja,promotion
minus,minus
asymetryczny,asymmetric
dialekt,dialect
barn,barn
scena,scene
